50428,CLEAR LAKE
51560,OAKLAND
52253,LISBON
51632,Corning
52653,WAPELLO
52804,DAVENPORT
50602,ALLISON
52001,DUBUQUE
52405,Cedar Rapids
50247,STATE CENTER
50321,DES MOINES
51351,MILFORD
52310,Monticello
50659,NEW HAMPTON
50401,MASON CITY
50801,CRESTON
53321,MILFORD
51360,SPIRIT LAKE
50641,HAZLETON
50158,MARSHALLTOWN
50006,ALDEN
50131,Johnston
51566,RED OAK
51058,SUTHERLAND
51108,SIOUX CITY
51040,ONAWA
50265,WEST DES MOINES
51301,Spencer
52402,CEDAR RAPIDS
52761,MUSCATINE
